iter	RMSE
0	0.4997521958
1	0.4997095331
2	0.4996678226
3	0.4996258208
4	0.4995838201
5	0.4995402223
6	0.4994951213
7	0.4994530958
8	0.4994082608
9	0.4993666368
10	0.499322918
11	0.4992811764
12	0.4992374442
13	0.4991938523
14	0.4991501271
15	0.499107413
16	0.4990648268
17	0.4990229974
18	0.498980409
19	0.4989376803
20	0.4988957275
21	0.4988532461
22	0.4988105063
23	0.4987684246
24	0.4987268542
25	0.498684492
26	0.4986392901
27	0.498597202
28	0.4985555183
29	0.4985102837
30	0.4984683139
31	0.4984263565
32	0.4983794936
33	0.49833608
34	0.4982926877
35	0.4982491548
36	0.4982056178
37	0.4981630828
38	0.4981180547
39	0.4980746686
40	0.4980322505
41	0.497985825
42	0.4979434858
43	0.4979003551
44	0.4978583903
45	0.4978149731
46	0.4977725104
47	0.497730529
48	0.4976885577
49	0.4976459564
50	0.497602656
51	0.4975597467
52	0.4975164621
53	0.4974739771
54	0.4974303913
55	0.497387926
56	0.4973465602
57	0.4973038265
58	0.4972619732
59	0.4972183699
60	0.4971757455
61	0.4971335074
62	0.4970898901
63	0.497046414
64	0.4970040477
65	0.4969620484
66	0.4969183903
67	0.4968760148
68	0.4968325309
69	0.4967908708
70	0.4967483285
71	0.4967068041
72	0.4966653144
73	0.4966220202
74	0.4965772614
75	0.4965354552
76	0.4964908121
77	0.4964485126
78	0.4964060815
79	0.4963642698
80	0.4963225753
81	0.4962788704
82	0.4962365537
83	0.4961950239
84	0.4961527972
85	0.4961114902
86	0.4960677472
87	0.4960260936
88	0.4959835218
89	0.4959411687
90	0.4958970807
91	0.4958556728
92	0.4958145343
93	0.4957716934
94	0.4957289251
95	0.4956870419
96	0.4956458469
97	0.495604147
98	0.4955618683
99	0.495520349
100	0.4954777083
101	0.4954361191
102	0.4953946509
103	0.49534939
104	0.4953073799
105	0.49526586
106	0.4952222533
107	0.4951790998
108	0.4951356458
109	0.4950936306
110	0.4950504599
111	0.4950084339
112	0.4949658383
113	0.4949246783
114	0.4948830196
115	0.4948401961
116	0.4947982288
117	0.4947565449
118	0.4947154878
119	0.4946736133
120	0.4946316518
121	0.4945893178
122	0.4945475881
123	0.4945066254
124	0.4944632144
125	0.4944197055
126	0.4943759262
127	0.4943332971
128	0.4942918538
129	0.4942501074
130	0.4942088651
131	0.4941671575
132	0.4941250418
133	0.4940826266
134	0.4940406488
135	0.493996119
136	0.4939528265
137	0.4939116468
138	0.4938697543
139	0.4938287271
140	0.4937874967
141	0.4937466617
142	0.4937019184
143	0.493659519
144	0.493618254
145	0.4935754682
146	0.4935344818
147	0.4934904519
148	0.4934462638
149	0.4934011583
150	0.4933574361
151	0.4933161319
152	0.4932743059
153	0.493232893
154	0.4931892732
155	0.4931458315
156	0.493103738
157	0.4930606681
158	0.493015128
159	0.4929680971
160	0.4929236537
161	0.4928816214
162	0.49283915
163	0.4927968982
164	0.4927550083
165	0.4927130218
166	0.4926702723
167	0.4926289632
168	0.4925838827
169	0.4925422423
170	0.4924975409
171	0.4924554808
172	0.492412458
173	0.4923720154
174	0.4923300344
175	0.4922860297
176	0.4922433123
177	0.4922008867
178	0.4921588948
179	0.4921164515
180	0.492073277
181	0.4920303818
182	0.4919889303
183	0.4919471112
184	0.4919054453
185	0.4918638705
186	0.4918225277
187	0.4917798718
188	0.4917376984
189	0.4916942761
190	0.4916518063
191	0.4916090172
192	0.4915669187
193	0.4915242657
194	0.491481469
195	0.4914401008
196	0.4913972991
197	0.4913555643
198	0.4913127313
199	0.4912705148
200	0.4912262581
201	0.4911847413
202	0.491142781
203	0.491100349
204	0.4910583512
205	0.491016713
206	0.4909737521
207	0.4909305987
208	0.4908879285
209	0.4908418175
210	0.4908002925
211	0.4907571677
212	0.4907149251
213	0.4906729642
214	0.4906299403
215	0.4905888571
216	0.4905459725
217	0.4905039309
218	0.4904615095
219	0.4904182658
220	0.4903748306
221	0.4903313825
222	0.4902895705
223	0.4902462578
224	0.4902027847
225	0.4901585777
226	0.4901159269
227	0.4900741718
228	0.4900325579
229	0.4899909329
230	0.4899490884
231	0.4899073513
232	0.4898637435
233	0.4898189726
234	0.4897757893
235	0.4897333659
236	0.4896896998
237	0.4896452343
238	0.4896043434
239	0.4895605256
240	0.4895171191
241	0.4894757017
242	0.4894327856
243	0.4893888346
244	0.4893461196
245	0.489300397
246	0.4892586063
247	0.4892156088
248	0.4891733945
249	0.4891313389
250	0.4890865205
251	0.4890449487
252	0.4890037292
253	0.4889624303
254	0.4889207046
255	0.4888786566
256	0.4888322655
257	0.48879121
258	0.4887485704
259	0.4887028805
260	0.4886581799
261	0.4886169519
262	0.4885758383
263	0.4885333357
264	0.4884910816
265	0.4884469605
266	0.4884048583
267	0.4883642916
268	0.4883220321
269	0.4882801522
270	0.4882386714
271	0.4881923337
272	0.4881492512
273	0.4881033981
274	0.4880618791
275	0.4880203875
276	0.4879746314
277	0.4879286345
278	0.4878872833
279	0.4878407346
280	0.4877986681
281	0.4877565029
282	0.4877120375
283	0.4876672995
284	0.4876251362
285	0.487584242
286	0.4875409483
287	0.4874974113
288	0.4874554136
289	0.4874135618
290	0.4873693211
291	0.487326524
292	0.4872835035
293	0.4872405217
294	0.4871983126
295	0.4871553311
296	0.4871099246
297	0.4870652379
298	0.4870190614
299	0.4869742936
300	0.4869328914
301	0.4868908518
302	0.4868447734
303	0.4867984512
304	0.4867553317
305	0.4867092666
306	0.4866655075
307	0.4866207248
308	0.4865752591
309	0.4865334435
310	0.4864904583
311	0.4864449794
312	0.4863985347
313	0.4863535896
314	0.4863073166
315	0.486264659
316	0.4862183635
317	0.4861760853
318	0.4861321469
319	0.4860882909
320	0.486041985
321	0.485996252
322	0.4859540376
323	0.4859080168
324	0.4858612967
325	0.4858187017
326	0.4857770286
327	0.4857306749
328	0.4856859561
329	0.4856397434
330	0.4855936873
331	0.4855486987
332	0.485502796
333	0.4854607652
334	0.4854148355
335	0.4853689165
336	0.4853235512
337	0.4852804366
338	0.48523463
339	0.4851901369
340	0.4851469372
341	0.4851008308
342	0.4850563201
343	0.4850125103
344	0.4849692892
345	0.4849235772
346	0.4848804683
347	0.4848359003
348	0.484790586
349	0.4847447057
350	0.4847020582
351	0.4846561453
352	0.4846110677
353	0.484565446
354	0.4845226646
355	0.4844803903
356	0.484437877
357	0.4843936554
358	0.4843480783
359	0.4843053734
360	0.4842630556
361	0.4842209716
362	0.4841784443
363	0.4841362536
364	0.4840905126
365	0.4840483411
366	0.484006629
367	0.4839607998
368	0.4839164501
369	0.4838722227
370	0.4838303411
371	0.4837878068
372	0.4837419736
373	0.4836976072
374	0.4836518054
375	0.4836093547
376	0.4835661796
377	0.4835243716
378	0.4834786457
379	0.4834371017
380	0.4833954291
381	0.4833536638
382	0.483307998
383	0.4832620943
384	0.4832163516
385	0.4831746336
386	0.4831307286
387	0.4830887665
388	0.4830473304
389	0.483002203
390	0.4829585418
391	0.4829134508
392	0.4828708739
393	0.4828258044
394	0.4827839224
395	0.4827413086
396	0.4826997813
397	0.4826546851
398	0.482609588
399	0.4825669719
400	0.4825218704
401	0.4824781644
402	0.4824330771
403	0.4823914315
404	0.4823463329
405	0.482304672
406	0.4822595633
407	0.4822179235
408	0.482172766
409	0.4821311535
410	0.4820859634
411	0.4820422146
412	0.4820005819
413	0.4819590188
414	0.4819174833
415	0.4818747716
416	0.4818333021
417	0.4817879911
418	0.4817426948
419	0.4817009036
420	0.481657068
421	0.4816117578
422	0.4815699701
423	0.4815260778
424	0.4814822139
425	0.4814406587
426	0.4813989539
427	0.4813574706
428	0.4813158669
429	0.481273092
430	0.4812303156
431	0.4811888523
432	0.4811474193
433	0.4811061321
434	0.4810647209
435	0.4810219121
436	0.480980503
437	0.4809348258
438	0.4808920086
439	0.4808511786
440	0.4808101383
441	0.4807695211
442	0.480728931
443	0.4806880238
444	0.4806439621
445	0.4806013099
446	0.4805572924
447	0.4805132955
448	0.4804676226
449	0.4804250146
450	0.4803826415
451	0.480341868
452	0.4802969054
453	0.4802561471
454	0.4802148553
455	0.4801726867
456	0.480129291
457	0.4800885208
458	0.4800479413
459	0.4800071949
460	0.4799621879
461	0.4799172051
462	0.4798764255
463	0.4798351215
464	0.4797901224
465	0.4797451691
466	0.4797029956
467	0.4796621698
468	0.4796208389
469	0.4795759073
470	0.4795352248
471	0.4794944034
472	0.4794494204
473	0.479408748
474	0.4793637674
475	0.4793230857
476	0.4792796583
477	0.4792389894
