iter	Passed	Remaining
408	3620	5230
409	3627	5220
410	3635	5210
411	3643	5199
412	3650	5189
413	3658	5178
414	3666	5168
415	3673	5157
416	3681	5146
417	3688	5135
418	3695	5124
419	3702	5113
420	3709	5102
421	3717	5091
422	3724	5080
423	3732	5069
424	3740	5060
425	3748	5050
426	3756	5040
427	3764	5030
428	3771	5019
429	3778	5008
430	3786	4999
431	3794	4988
432	3802	4979
433	3810	4968
434	3817	4958
435	3825	4948
436	3832	4937
437	3840	4927
438	3847	4916
439	3855	4906
440	3863	4896
441	3871	4887
442	3878	4876
443	3886	4866
444	3894	4856
445	3901	4846
446	3909	4836
447	3917	4826
448	3924	4816
449	3932	4806
450	3940	4796
451	3948	4786
452	3956	4777
453	3964	4767
454	3971	4757
455	3979	4747
456	3987	4737
457	3995	4727
458	4002	4717
459	4010	4707
460	4017	4697
461	4026	4688
462	4033	4678
463	4041	4668
464	4048	4658
465	4057	4649
466	4065	4640
467	4073	4630
468	4080	4620
469	4088	4610
470	4096	4600
471	4103	4590
472	4110	4580
473	4118	4570
474	4125	4560
475	4133	4550
476	4141	4540
477	4148	4530
478	4155	4519
479	4162	4509
480	4169	4498
481	4176	4488
482	4184	4478
483	4191	4468
484	4198	4458
485	4206	4448
486	4212	4437
487	4219	4427
488	4226	4416
489	4232	4405
490	4238	4394
491	4245	4383
492	4251	4372
493	4258	4361
494	4264	4350
495	4271	4340
496	4277	4329
497	4283	4318
498	4290	4307
499	4297	4297
500	4304	4287
501	4313	4278
502	4321	4269
503	4329	4260
504	4336	4250
505	4344	4241
506	4352	4231
507	4360	4223
508	4367	4213
509	4375	4203
510	4382	4193
511	4390	4184
512	4397	4174
513	4404	4164
514	4412	4155
515	4419	4145
516	4426	4135
517	4433	4125
518	4441	4116
519	4448	4106
520	4456	4096
521	4464	4087
522	4471	4078
523	4478	4068
524	4486	4058
525	4493	4049
526	4500	4039
527	4507	4029
528	4515	4020
529	4522	4010
530	4529	4000
531	4536	3990
532	4544	3981
533	4551	3971
534	4559	3963
535	4566	3953
536	4574	3943
537	4581	3934
538	4588	3924
539	4595	3914
540	4601	3904
541	4608	3894
542	4615	3884
543	4622	3874
544	4629	3865
545	4636	3855
546	4644	3846
547	4652	3837
548	4659	3827
549	4667	3818
550	4674	3809
551	4681	3799
552	4688	3790
553	4696	3780
554	4703	3770
555	4710	3761
556	4717	3751
557	4724	3742
558	4731	3732
559	4738	3722
560	4745	3713
561	4751	3703
562	4758	3693
563	4765	3684
564	4772	3674
565	4780	3665
566	4786	3655
567	4793	3646
568	4801	3637
569	4809	3628
570	4817	3619
571	4824	3610
572	4832	3601
573	4839	3591
574	4847	3582
575	4854	3573
576	4861	3564
577	4869	3555
578	4876	3546
579	4884	3536
580	4892	3528
581	4899	3518
582	4906	3509
583	4913	3500
584	4922	3491
585	4930	3483
586	4937	3474
587	4945	3465
588	4953	3456
589	4962	3448
590	4970	3439
591	4977	3430
592	4984	3421
593	4992	3412
594	4999	3402
595	5006	3393
596	5013	3384
597	5020	3375
598	5028	3365
599	5034	3356
600	5042	3347
601	5049	3338
602	5057	3329
603	5068	3323
604	5078	3315
605	5087	3307
606	5095	3299
607	5102	3289
608	5110	3280
609	5117	3271
610	5126	3263
611	5134	3255
612	5142	3246
613	5151	3238
614	5159	3229
615	5169	3222
616	5180	3215
617	5190	3208
618	5199	3200
619	5207	3191
620	5215	3182
621	5223	3174
622	5231	3165
623	5240	3157
624	5247	3148
625	5255	3140
626	5263	3131
627	5270	3121
628	5277	3112
629	5285	3103
630	5292	3094
631	5300	3086
632	5308	3077
633	5317	3069
634	5325	3061
635	5334	3052
636	5342	3044
637	5349	3035
638	5358	3027
639	5368	3019
640	5376	3011
641	5387	3004
642	5399	2997
643	5407	2989
644	5416	2981
645	5424	2972
646	5433	2964
647	5441	2955
648	5450	2947
649	5460	2940
650	5468	2931
651	5476	2923
652	5484	2914
653	5494	2906
654	5503	2898
655	5511	2890
656	5520	2881
657	5529	2873
658	5537	2865
659	5547	2858
660	5555	2849
661	5564	2841
662	5572	2832
663	5581	2824
664	5590	2816
665	5598	2807
666	5606	2799
667	5614	2790
668	5622	2781
669	5631	2773
670	5643	2766
671	5651	2758
672	5659	2749
673	5668	2741
674	5677	2733
675	5685	2725
676	5693	2716
677	5702	2708
678	5711	2700
679	5720	2691
680	5728	2683
681	5736	2674
682	5744	2666
683	5753	2657
684	5761	2649
685	5770	2641
686	5780	2633
687	5788	2625
688	5797	2617
689	5807	2609
690	5816	2601
691	5825	2593
692	5833	2584
693	5841	2575
694	5848	2566
695	5856	2558
696	5864	2549
697	5871	2540
698	5878	2531
699	5886	2522
700	5893	2513
701	5900	2504
702	5907	2495
703	5915	2487
704	5923	2478
705	5929	2469
706	5937	2460
707	5944	2451
708	5951	2442
709	5958	2433
710	5965	2424
711	5972	2415
712	5979	2406
713	5986	2397
714	5992	2388
715	5999	2379
716	6005	2370
717	6012	2361
718	6018	2352
719	6026	2343
720	6032	2334
721	6039	2325
722	6046	2316
723	6053	2307
724	6060	2298
725	6066	2289
726	6072	2280
727	6079	2271
728	6086	2262
729	6093	2253
730	6100	2244
731	6107	2236
732	6115	2227
733	6121	2218
734	6127	2209
735	6134	2200
736	6140	2191
737	6146	2182
738	6152	2172
739	6158	2163
740	6164	2154
741	6170	2145
742	6177	2136
743	6183	2127
744	6189	2118
745	6195	2109
746	6202	2100
747	6208	2091
748	6214	2082
749	6220	2073
750	6226	2064
751	6232	2055
752	6238	2046
753	6244	2037
754	6251	2028
755	6257	2019
756	6263	2010
757	6270	2001
758	6276	1992
759	6282	1983
760	6288	1974
761	6294	1966
762	6301	1957
763	6307	1948
764	6313	1939
765	6319	1930
766	6325	1921
767	6331	1912
768	6336	1903
769	6342	1894
770	6348	1885
771	6354	1876
772	6359	1867
773	6365	1858
774	6372	1850
775	6379	1841
776	6386	1833
777	6394	1824
778	6402	1816
779	6409	1807
780	6417	1799
781	6424	1791
782	6432	1782
783	6438	1773
784	6445	1765
785	6452	1756
786	6459	1748
787	6466	1739
788	6472	1731
789	6479	1722
790	6486	1713
791	6492	1705
792	6499	1696
793	6505	1687
794	6511	1679
795	6518	1670
796	6524	1661
797	6530	1653
798	6536	1644
799	6542	1635
800	6548	1626
801	6554	1618
802	6560	1609
803	6566	1600
804	6572	1592
805	6578	1583
806	6584	1574
807	6590	1565
808	6595	1557
809	6602	1548
810	6608	1540
811	6614	1531
812	6620	1522
813	6627	1514
814	6633	1505
815	6639	1497
816	6645	1488
817	6651	1479
818	6658	1471
819	6663	1462
820	6669	1454
821	6675	1445
822	6682	1437
823	6688	1428
824	6696	1420
825	6702	1411
826	6708	1403
827	6715	1394
828	6721	1386
829	6727	1377
830	6733	1369
831	6740	1361
832	6746	1352
833	6752	1344
834	6758	1335
835	6765	1327
836	6772	1318
837	6778	1310
838	6785	1302
839	6791	1293
840	6798	1285
841	6805	1277
842	6812	1268
843	6818	1260
844	6824	1251
845	6830	1243
846	6836	1234
847	6842	1226
848	6848	1218
849	6854	1209
850	6860	1201
851	6866	1192
852	6872	1184
853	6877	1175
854	6883	1167
855	6890	1159
856	6895	1150
857	6901	1142
858	6907	1133
859	6913	1125
860	6920	1117
861	6926	1108
862	6932	1100
863	6938	1092
864	6945	1083
865	6953	1075
866	6961	1067
867	6970	1059
868	6982	1052
869	6990	1044
870	7014	1038
871	7022	1030
872	7030	1022
873	7039	1014
874	7049	1007
875	7060	999
876	7069	991
877	7080	983
878	7088	975
879	7096	967
880	7104	959
881	7112	951
882	7120	943
883	7127	935
884	7135	927
885	7143	919
886	7151	911
887	7159	902
888	7166	894
889	7174	886
890	7182	878
891	7190	870
892	7198	862
893	7206	854
894	7215	846
895	7223	838
896	7231	830
897	7239	822
898	7247	814
899	7255	806
900	7264	798
901	7272	790
902	7280	782
903	7290	774
904	7298	766
905	7307	758
906	7315	750
907	7323	742
908	7332	734
909	7339	725
910	7346	717
911	7354	709
912	7361	701
913	7369	693
914	7376	685
915	7384	677
916	7391	669
917	7398	660
918	7406	652
919	7413	644
920	7421	636
921	7428	628
922	7436	620
923	7442	612
924	7449	604
925	7456	595
926	7462	587
927	7469	579
928	7476	571
929	7481	563
930	7488	555
931	7495	546
932	7501	538
933	7508	530
934	7514	522
935	7521	514
936	7527	506
937	7533	497
938	7540	489
939	7546	481
940	7554	473
941	7563	465
942	7571	457
943	7578	449
944	7586	441
945	7593	433
946	7599	425
947	7605	417
948	7612	409
949	7619	401
950	7625	392
951	7632	384
952	7638	376
953	7645	368
954	7651	360
955	7657	352
956	7664	344
957	7671	336
958	7678	328
959	7685	320
960	7691	312
961	7697	304
962	7704	296
963	7711	287
964	7718	279
965	7725	271
966	7732	263
967	7738	255
968	7745	247
969	7752	239
970	7759	231
971	7766	223
972	7772	215
973	7779	207
974	7785	199
975	7791	191
976	7797	183
977	7804	175
978	7811	167
979	7817	159
980	7824	151
981	7830	143
982	7837	135
983	7843	127
984	7849	119
985	7856	111
986	7863	103
987	7871	95
988	7877	87
989	7883	79
990	7889	71
991	7895	63
992	7901	55
993	7907	47
994	7913	39
995	7919	31
996	7925	23
997	7931	15
998	7936	7
999	7943	0
3	8242	49
994	8249	41
995	8256	33
996	8263	24
997	8269	16
998	8276	8
999	8283	0
	303
979	14174	289
980	14182	274
981	14192	260
982	14208	245
983	14233	231
984	14243	216
985	14253	202
986	14261	187
987	14271	173
988	14280	158
989	14290	144
990	14298	129
991	14308	115
